date,case,full_vac_rate
2020-12-14,3577,0.0
2020-12-15,3679,3.4074684894351437e-07
2020-12-16,2784,1.9308988106799148e-06
2020-12-17,1924,3.8617976213598295e-06
2020-12-18,3428,6.587772412907945e-06
2020-12-19,2555,7.2692661107949736e-06
2020-12-20,2348,7.496430676757317e-06
2020-12-21,4335,9.200164921474889e-06
2020-12-22,4097,1.1926139713023003e-05
2020-12-23,3844,1.6696595598232206e-05
2020-12-24,3014,2.158063376642258e-05
2020-12-25,1046,2.158063376642258e-05
2020-12-26,3454,2.623750736865061e-05
2020-12-27,2886,2.7486912481443494e-05
2020-12-28,5388,3.2370950649633866e-05
2020-12-29,5204,3.577841913906901e-05
2020-12-30,4984,4.111678643918407e-05
2020-12-31,3389,4.41835080796757e-05
2021-01-01,1336,4.4410672645638045e-05
2021-01-02,4190,4.554649547544976e-05
2021-01-03,3454,4.81588879840167e-05
2021-01-04,6593,0.00013959262578385972
2021-01-05,6152,0.000387542749531757
2021-01-06,5676,0.0008323309696860245
2021-01-07,5434,0.0014186427144348315
2021-01-08,5295,0.0020338043590608563
2021-01-09,3689,0.0021988394162324983
2021-01-10,3198,0.0023083327370263477
2021-01-11,5911,0.003143730428352864
2021-01-12,5231,0.004032284628114568
2021-01-13,5171,0.0050922344928948605
2021-01-14,5258,0.005695583580090843
2021-01-15,4838,0.006111862647216837
2021-01-16,3478,0.006379462505920476
2021-01-17,2918,0.006561080576407369
2021-01-18,4641,0.006830838498487652
2021-01-19,5142,0.007917934528900444
2021-01-20,4906,0.008991741432204438
2021-01-21,4938,0.009906760303900756
2021-01-22,4711,0.010402206222264626
2021-01-23,3275,0.01076510161638947
2021-01-24,2855,0.011154234517882963
2021-01-25,5660,0.012487917684647878
2021-01-26,4697,0.013697909745246298
2021-01-27,4780,0.015089860623180554
2021-01-28,4675,0.016534627262701055
2021-01-29,3668,0.017825944237913994
2021-01-30,2858,0.0182457443558124
2021-01-31,2891,0.018572861330798177
2021-02-01,975,0.019175642506579254
2021-02-02,2660,0.020230708333191356
2021-02-03,5143,0.02260014833846157
2021-02-04,4856,0.024787856690961917
2021-02-05,4157,0.027019294222410013
2021-02-06,3079,0.028279943981218032
2021-02-07,1647,0.02920927422056998
2021-02-08,4430,0.031847222742807685
2021-02-09,3730,0.035000948412062895
2021-02-10,3778,0.03828279489652086
2021-02-11,3411,0.04203396337425703
2021-02-12,3314,0.04547391639662479
2021-02-13,2204,0.04830120658459211
2021-02-14,1896,0.05096948157638579
